Area,City,P Winter,P Summer
251.82,Wellington,2130,1898.8
104.34,Wellington,1944.5,1258.1
299.36,Wellington,1985.3,1949.4
246.52,Wellington,2056.5,1743.6
226.34,Wellington,2140.2,1818.9
251.2,Wellington,1982.6,1855.1
70.642,Wellington,1390.3,1007.1
240.88,Wellington,1880.4,1847.4
250.14,Wellington,1979.5,1908.6
232.25,Wellington,1959.7,1815.2
185.79,Wellington,1900.3,1693
238.4,Wellington,1977.4,1879.3
200.95,Wellington,1960.7,1721.5
136.44,Wellington,1926,1417.9
93.028,Wellington,1726.9,1071.4
76.312,Wellington,1509.6,1145.6
65.082,Wellington,1442.6,962.87
69.307,Wellington,1500,1031.9
41.32,Wellington,1504.4,1079.3
275.19,Wellington,1935.3,1950.2
232.23,Wellington,1940.1,1765.9
54.926,Wellington,1439,1025.8
298.09,Wellington,2006.4,1902.1
152.47,Wellington,1907.4,1611.2
110.77,Wellington,1723.4,1216.3
146.25,Wellington,1858.1,1467.5
41.519,Wellington,1381.1,1001.5
181.49,Wellington,1866.5,1669.5
133.67,Wellington,1961.2,1387
246.86,Wellington,2034.3,1867.4
233.53,Wellington,1880.1,1858.8
165.31,Wellington,1858.8,1580.4
275.24,Wellington,2030.3,1929.6
294.13,Wellington,1965.9,1923.3
229.68,Wellington,1967.2,1811.2
52.015,Wellington,1349.8,977.94
81.256,Wellington,1617.2,1077.8
238.7,Wellington,2042.4,1847.3
99.595,Wellington,1573,1150.5
87.488,Wellington,1637.5,1229.1
247.84,Wellington,2078.5,1890.7
108.78,Wellington,1820.7,1168.1
118.81,Wellington,1857.5,1247.7
297.99,Wellington,2018.3,1919.6
127.19,Wellington,1817.2,1324.8
279.03,Wellington,2112.6,1937.3
294.26,Wellington,2146.2,1993.2
181.62,Wellington,1786.9,1661.2
265.53,Wellington,1930.4,1899.2
288.33,Wellington,1997.3,1857.9
130.82,Wellington,1880.1,1431.8
264.16,Wellington,2000.4,1949.8
247.61,Wellington,1998.6,1846.2
192.62,Wellington,1845.9,1600.4
84.346,Wellington,1659,994.22
148.59,Wellington,1740.9,1522.3
77.191,Wellington,1465.2,1053.9
225.76,Wellington,2031.1,1807.9
282.63,Wellington,2075.4,1938.6
293.13,Wellington,2129.2,1971.6
195.62,Wellington,1976.3,1727.6
174.14,Wellington,2061,1611.1
204.06,Wellington,1829.2,1829
287.86,Wellington,2133,1828.8
162.23,Wellington,1934.7,1593.7
143.14,Wellington,1778.7,1446
166.27,Wellington,1951.8,1586.2
295.6,Wellington,1923.7,1923.7
275.35,Wellington,2103.1,1878.1
197.79,Wellington,2000.5,1750.3
107.69,Wellington,1649,1213.8
237.35,Wellington,1897.4,1780.5
83.602,Wellington,1546,1041.3
65.919,Sydney,1449.5,1063
184.45,Wellington,1871.3,1681.6
292.69,Wellington,2120,1945.1
140.99,Sydney,1773.8,1413
146.54,Wellington,2050.4,1494.1
98.033,Wellington,1667.2,1162.6
